man I mone, N
PSA timeli, P
I went Sai, N
@ NileshSh, P
The ultima, N
Being # OR, P
@ realDona, P
An # Apple, P
Excellent , P
If thought, P
2/ A Marke, N
So telling, P
Coronaviru, N
Just stopp, N
Am I worri, N
What effor, P
FFS So top, P
COVID-19 s, N
Stop shopp, N
omg HOT pe, N
Covid 19 m, N
The govern, P
Activities, P
Please ple, P
# coronavi, P
@ Cornell_, P
Well guess, N
How Costco, P
I see peop, P
Genuinely , N
Who 's goi, N
COVID-19 A, P
Sellers ca, P
If think 1, P
Museums , , N
The world , N
During COV, P
In reading, P
A focused , P
I 'd like , N
One grocer, N
There enou, N
If live sc, P
The busine, P
Groceries , N
As people , P
Steve Bill, P
Im annoye, N
Gov/aka Bo, P
`` We ever, P
In light r, N
Please Sto, N
So I reach, P
For compla, P
@ SebDance, N
Oregon Che, P
went super, N
Our superm, P
work fast , P
Now time s, P
Ppl facing, N
Well expec, P
Hey . Be n, P
# nobodyas, P
Irony ever, N
Going groc, P
Please Ret, P
Decided vi, N
As additio, P
In b4 newe, P
Where firs, N
Journalist, N
We went lo, P
America , , N
Want know , N
When shops, N
NEVER impo, P
In time wo, N
Sporting e, N
Grocery st, P
The news n, P
I normal g, P
Apart irre, N
No matter , N
To plebs l, N
alright # , N
How many R, P
I PTSD sur, P
I would lo, P
? ? AWESOM, N
PSA : You , P
To read - , P
Natomas ma, P
Charities , P
Experts sa, N
Scenes ins, N
A package , P
People cra, N
Hey @ Matt, P
There trum, P
See new @ , P
Amazon pla, P
Fred Meyer, N
one wonder, N
It seems m, N
@ SkyNews , P
Hey everyo, N
Instead ho, P
CONSUMER A, P
@ cathy_cr, N
Corporate , N
@ mattZill, P
You watch , P
Trump says, P
? 50 % OFF, P
The govern, P
A coalitio, P
Now I know, P
Shops sold, N
I 've pred, P
Gas prices, N
Wiping eve, P
As stock #, P
? URGENT ?, P
RE * marke, P
Comedy sho, P
Confirming, N
Honestly n, P
@ BreeNews, P
Control st, N
Long queue, N
Confirming, P
# Hygiene , P
Y'all full, N
For people, N
We underst, P
Wish Peopl, N
Let record, N
An update , N
Its weird, P
How gone t, N
The world , N
Florida De, P
Please exp, P
The stats , N
Really , ', P
Washington, N
Question :, P
@ realDona, P
@ LuciferT, N
After 6-7 , P
@ NBAPAdvi, N
Due uncert, P
Shopping g, P
Minister H, N
This wake , N
My local g, N
Who needs , P
Went groce, P
Me family , P
Nice long , P
ordered do, P
@ RwandaHe, P
Seemingly , P
We closin, P
? Soap act, N
Older Lady, P
@ LizMalaf, N
My friend , N
BREAKING :, N
CDC urges , N
I 'm rude , N
@ tracybea, P
Coronaviru, N
PSA : DONT, P
Elderly pe, N
italy case, N
Hema got c, N
In Calgary, P
Gov'ts bai, N
We dont k, N
Just passe, P
If conside, P
Very smart, P
Local groc, N
@ guatezad, N
Is panic l, P
If one buy, P
got know f, N
Today I wo, P
? @ Nouris, N
# coronavi, N
@ skdmodel, P
We 'd like, P
Hey La Cro, N
Hey everyb, N
Ca n't fin, P
This # cor, N
would figh, N
@ Concentr, P
Coming hom, N
WHOS PAYI, P
COVID-19 :, N
A quick tr, N
Now would , P
We believe, P
Some peopl, N
Our amazin, P
@ cristela, N
I went wor, P
Alright y, N
COVID-19 s, P
Gov advice, P
https : //, N
Mayor Lond, N
Russia bre, N
I n't usua, P
We self-is, N
# COVID_19, N
Which grou, N
Went super, N
I dont kn, N
Reason # 3, N
# ToiletPa, N
THANK YOU , P
Not full 2, N
Me grocery, N
Still thin, P
So made gr, N
As Venezue, N
So COVID 1, N
In Switzer, P
While 're , N
No need st, N
Grocers fa, P
I highly s, N
@ RepSusan, P
These peop, N
. @ Amazon, N
@ michaelt, N
If , consi, P
Did # Trum, N
Local groc, N
# MorningJ, N
Trader Joe, N
# hamsters, N
I wonder m, P
This time , P
How health, N
Who knew !, P
Were open, P
Somehow I , P
Our # For1, P
With consu, N
Please rem, P
@ NYCSpeak, P
Hackers ex, N
retail not, P
NO # toile, N
How people, N
thought pe, N
I 'm sendi, P
People rus, P
@ Louisian, N
Which favo, N
Everyone t, N
Our Nebras, N
Just spent, N
The # Trud, N
Im glad e, P
The # Fake, N
People wip, N
Going groc, P
Is gay use, P
Reducing s, P
Seeing man, N
Headed gro, P
Never thou, P
@ DaisyFue, P
At grocery, N
To paraphr, N
@ HoarseWi, P
STOP attac, N
DONT FORGE, P
People fre, P
stocking f, P
At @ FoodB, P
Is hashtag, P
Im grocer, N
REMEMBER Y, P
This onlin, P
We ca n't , N
@ logicsay, P
Dear folks, N
Time buy m, P
In chaos g, N
My COVID-1, N
If coming , P
Get concis, P
Went super, N
* * * IMPO, P
dangerous , N
? ? Israel, N
`` COVID F, N
# Covid_19, N
I 'm groce, P
Here 's no, N
Are busine, P
With cance, P
The reason, N
Well folks, P
As COVID-1, N
So January, P
Once super, N
Just thoug, N
My local I, N
I hate sho, N
We bought , N
Government, P
The # Coro, N
To every u, N
@ trish_re, N
I walked s, P
I disturbe, N
Day 3 quar, N
I sent mom, P
I 'm still, N
@ M2Madnes, N
Every shop, N
Responding, N
All boomer, N
Check I fo, P
Video conf, P
Well . My , N
Supermarke, N
Scammers t, P
How Google, N
Small town, P
LOOK ON TH, P
Avoid long, P
Some onlin, P
A tale two, P
So instead, P
As stock h, P
Scott Morr, N
Today I pi, P
Social iso, N
Thank god , P
I swung gr, P
Worldwide , P
Just went , N
He place y, N
By increas, N
Are still , P
Judging su, P
@ Tesco @ , N
We 've lie, P
Does covid, P
These Comm, N
I work sma, P
Retail gia, N
Trump said, P
Demand foo, N
Retailers , N
My plan co, P
I grocery , N
MODERN SHI, P
NJ Shoprit, N
If every r, N
Mayor Inda, N
Look oppre, P
Folks , se, P
Wifey went, N
Had elderl, N
Nonna want, N
Teachers ,, P
For cashlo, P
Fill fridg, P
@ jhall @ , P
Calling AL, N
# Globalwe, P
In Tesco d, N
Its unacc, N
Locust swa, N
They cant, P
Amid prais, P
Worried co, P
Gas prices, N
As current, N
Democrats , N
Spiking pr, N
good job e, P
Strange mo, N
In light c, P
Local medi, N
Check I fo, P
Just phone, P
Bleedin sh, P
Officials , P
This not t, N
Walmart & , N
Because lo, N
Actors ? F, P
Empty groc, N
Did anyone, N
The new de, P
While stoc, N
A friend s, P
You know a, P
If superma, N
? CONSUMER, N
There litt, N
Pound cont, P
Are worrie, P
Saw docume, N
A supermar, P
Scenes loc, P
Im going , N
So I brave, P
@ j0s3fk Y, P
While peop, P
Be nice gr, P
@ PicknPay, N
Woolworths, N
Much alcoh, N
Locals sto, N
I went sho, N
Guy today , N
. @ Target, P
Its hell , N
Now would , P
pls keep c, N
@ dubproof, P
Ill give, P
@ jamiegen, P
grocery st, N
Mintel 's , P
4 ) state , N
@ colemank, P
I sure hop, P
Everybody , P
BROOKLYN !, P
So many tw, P
I demand f, N
The pandem, P
@ thehill , P
Stores sel, N
# Colombo , N
`` It woul, P
The US gov, N
Catching f, N
The new no, N
People pan, N
Prepare # , N
Random tho, N
So .... sh, P
@ BrentInG, P
Wonder wel, P
Items toil, N
Australian, P
People hav, P
Does every, N
@ theJagme, P
? ? Inform, P
Crazy line, N
Please spa, P
VERY BAD S, N
Social dis, P
This Texas, P
Studies sh, P
Clear time, P
obyrne EVA, N
When I wat, N
WATCH : Co, N
Dried past, P
Delhi witn, N
More 8,000, P
Popped loc, N
About head, N
I work sup, N
Flashbacks, N
I survived, P
My local g, N
Fun Fact :, N
Its alway, P
Everyone g, P
Ya really , P
The @ JECD, P
If n't sto, N
Just tried, P
Home shopp, N
I think on, P
My reactio, N
@ Apple @ , P
A new wave, N
# Covid_19, P
Evening Al, P
@ realist2, N
Be respons, P
Surviving , N
Face masks, P
Apple clos, P
@ marwilli, N
That grim , N
Ive gotte, P
Shopping o, P
STOP PANIC, N
We wanted , P
# Coronavi, N
NOW HIRING, N
Genuinely , P
ATTN BEER , P
OK I 'm re, P
Completely, N
everyone p, P
No milk , , N
Theo panic, N
If want ge, P
Well , lon, P
Given cons, P
In case yo, N
This littl, P
Just going, N
@ morethan, P
Please get, P
Has anyone, N
Call 202 2, N
@ ShopRite, P
I live red, P
Good move , P
If 're loo, P
were not , N
My kids + , P
shame medi, N
While # So, P
Just went , N
called twi, P
Walked loc, N
To put epi, N
`` Its re, P
* * * * IM, P
National C, P
Everyone s, N
Services h, P
What 's po, N
Empty stor, N
Weve ques, P
Empare y3n, P
Everyone p, N
Between cu, N
Families n, N
# sanfranc, P
? @ NYSE ?, P
Imagine fi, P
This # Cor, N
Trump 's b, N
This great, P
supermarke, N
Realme 6 P, P
# SaudiAra, N
I really w, P
If healthy, N
# Malaysia, N
@ realDona, N
Lol funny , P
Your local, P
If youre , P
When n't f, P
The clowns, P
It time ge, N
Dear # Sto, N
The Nether, N
In # CNBCT, N
What ever , P
It unwarra, N
. @ Amazon, P
Government, N
Latest ? @, P
People ! I, P
I hear onl, P
@ newtging, P
@ PokemonG, N
Can imagin, N
Cmon , guy, P
@ thehill , N
# vegan # , P
For god sa, N
How # coro, N
The people, N
Please don, P
Mf governm, P
We 've see, P
@ GOPChair, N
Celestial , P
Today groc, P
. @ Target, P
Sadly true, N
Experience, P
? ? & amp , P
@ QuintonL, N
? ? ? ? ? , N
Just heads, P
This isnt, N
# coronavi, P
@ dennissa, P
My biggest, N
Hooray ! W, P
# COVID ? , N
People und, N
Now time @, P
Panicky ma, P
For worrie, P
All Americ, N
First time, P
@ darrengr, P
If 1,000,0, N
I dont un, P
@ RexallDr, P
Forgot toi, P
So wealthy, P
I lung dis, N
Food bank , P
I think co, P
People Fac, N
No # HandS, P
COVID 19 p, N
Stores rav, N
When freak, P
When order, P
Working gr, N
That 's we, N
The fact I, N
All bookst, P
At crucial, P
Buying foo, N
Please PLE, P
@ Word_Ser, P
If youre , N
Dear Malay, N
INCREIBLE , N
Travelzoo , N
No stream , N
Mean rever, P
It seems #, P
If budget , P
You know w, N
How things, P
Just n't m, N
Just left , P
Confirming, P
Trump offi, P
Rough week, P
. @ kroger, N
@ Fly_Norw, N
The Warrio, P
BREAKING :, N
@ Rhett800, P
What Preca, P
Please par, P
Stocking w, P
# Coronavi, N
More 250 p, N
# PantryMe, P
Grocery st, N
You tell e, P
I think It, N
Scenes gro, N
QUARANTINE, N
If lucky e, P
Really wor, N
Friday eve, P
Real quest, N
So I work , N
Popped loc, P
If applies, P
Hey fellow, N
Make sure, P
You n't ne, N
The World , P
Get TV wan, P
When local, P
Donnie tou, N
@ ClancyNe, N
Going food, N
If midst c, N
Rest assur, P
These shel, P
@ calebmea, P
Just idea , P
My experie, P
@ ABC7 # a, N
COVID 19 c, N
There food, N
Please Ple, P
As someone, P
In times c, N
shit aint, N
With empty, N
My opinion, N
Call reps , N
The # Walk, P
Next deliv, P
Time globa, P
I also wou, P
So new hou, P
I went th , P
How short , P
@ julianbo, N
UPDATE Due, P
Covid-19 c, P
The worst , N
Patel : Th, N
Coronaviru, N
Dont pani, P
Amazon gro, N
Im not ac, N
Can start , N
In local s, P
It 's 2 hr, N
@ spaceang, N
@ RobJette, N
Confirming, N
@ JosephFo, P
# coronavi, N
? PSA ? Co, N
What worry, N
6 . How pr, N
The # Saud, N
@ sainsbur, P
@ jamusgit, P
@ Laurynnn, N
Things I c, P
Listen bra, P
`` While o, N
We take ca, P
@ SamParke, N
We could m, N
Twitter Fe, N
I 'm going, N
Five milli, N
2020 far ~, P
Ordering p, N
Smartphone, P
COVID-19 C, P
The flu de, N
Went groce, P
All retail, P
# toiletpa, P
Target toi, N
List compa, P
New local , P
@ FoxNews , N
went groce, N
DONT BUY T, N
Tip : Have, N
Convenienc, N
Government, P
So were s, P
Is local g, N
This would, P
The great , P
If need # , P
I thought , N
Just thoug, P
I saw earl, P
Now 1,000, P
Get lot sl, P
Well I gue, P
During tim, P
Oh yeah , , P
Maybe peop, N
On way hom, P
Here 's id, N
Tip Pro Wr, P
Note : not, P
Scenes out, N
Whenever $, N
Corona ? s, P
In Respons, N
babu Don t, N
All Covid-, N
There need, N
oh god , c, P
I didnt t, N
The saddes, N
# Coronavi, P
Well , eve, N
Im not su, N
@ zoom_us , N
Trump Dera, N
Check elde, P
Those rich, P
Even witho, N
While neit, P
Still love, N
FP Canada , N
If youre , N
@ realDona, N
Just got m, P
Just got b, N
# Retail #, N
I never be, N
I feel stu, N
If know th, P
Stay vigil, P
If age 65 , P
The key me, P
@ EU_Consu, N
People ask, N
The TP sec, P
? Infected, N
All proves, N
# CoronaVi, N
New Yorker, N
Imagine go, N
Coronaviru, P
For nation, N
How many p, N
Stocking s, P
COVID-19 p, N
Is # Polan, N
Let 's rem, N
Hopefully , P
The USDA p, N
@ theheral, N
Please see, P
We need ST, P
@ Nattythe, P
Working gr, P
mga adik s, P
Shoutout g, P
Tulkoff co, P
Yes , I bl, N
? Source U, N
I wish ppl, P
Just Went , P
Apocalypse, P
COVID-19 p, N
Practical , P
CBS Dallas, P
Consumers , P
Me superma, N
NATIONAL |, N
Everybody , P
I never se, P
Ca n't thi, N
@ BernaMea, N
Want get r, P
A fight br, N
Only China, P
More worri, N
Went shopp, P
Please DO , N
@ ShopprsD, P
This would, N
I working , P
HEALTHY HA, P
Yo I reall, P
Every reta, P
Due fast-m, N
Please n't, P
Absolutely, P
Q : Should, N
JUST IN : , P
A retail s, P
@ Paris__G, N
Just saw m, N
Movie remi, N
Winco Fron, N
@ writing4, P
It shows s, P
I usually , P
# Cryptocu, P
While busy, P
experienci, P
Hi Sir I t, P
With going, P
I got peop, N
Nothing le, P
Stop . Cov, N
Guys pleas, P
If still d, P
With schoo, P
Welp , I g, P
Ugh . Noth, N
# Coronavi, P
The canned, P
A suggesti, N
@ Sarah_Mo, P
Security t, P
Small remi, P
Please RT , P
Aussie sup, P
According , P
@ StephenP, N
If able go, N
At Grocery, P
This Frida, N
# coronavi, P
So . I wen, P
6.45am sta, N
Gov need s, N
Apple Stor, P
Anyone act, P
# nifty50 , P
First # Co, N
If toilet , N
It 'll int, P
# coronapo, P
Reportedly, P
I went gro, N
A lot peop, N
Nothing li, N
Serious ? , P
In USA peo, N
It 's okay, P
Sherway Ga, P
Stop buyin, N
While post, P
I featured, P
* offer ri, P
Heres tho, P
He 's f ! , N
Important , N
Music day , N
When told , N
Seeing emp, N
In midst C, P
I cut roll, N
All Irelan, N
Most shopp, P
If people , P
READERS & , P
There poin, N
We created, P
Pretty goo, P
The woman , P
Did The pe, P
In covid 1, N
Went Lowes, N
concerned , P
Legit ques, N
I went cvs, N
Also , don, P
Switzerlan, P
Retail sto, P
These grea, P
Before go , N
This panel, N
I cant he, P
As valley , P
Im shoppi, N
Im really , N
Why every , P
Coronaviru, N
# Trolling, N
Out feelin, P
So moms e, N
I figured , N
? 80 % # R, P
Food bank , N
I NOT pani, N
# Covid_19, P
Impact # C, N
In additio, P
We 've not, P
Does every, P
New sport , P
Pals , @ V, P
Compliance, N
Covid-19 f, P
Instacart , N
COVID-19 F, N
In COVID-1, P
Hands dryi, P
LA friends, P
For newly, P
Is better , P
If grocery, P
COVID 19 D, N
My mom sen, N
Be like gi, P
If arent , P
canada pee, N
We working, P
I SCREWED , N
Hey parent, P
Its 1:30 , P
Efforts 2 , P
So , accor, P
I shake he, P
I live alo, N
Yall pani, P
Demand veg, N
As grocery, N
I work 40+, N
All stores, P
Felt bit h, P
email I go, P
Day number, N
My local s, N
Selling fa, P
Overheard , N
Seriously , N
@ totemran, N
Quite empt, N
Costco mad, N
@ BBCNWT w, P
I love Ind, P
After brea, N
I eat Chin, N
I 'm convi, P
This pictu, P
Here A Goo, P
With news , N
SANITIZER , P
# selfisol, P
Just local, P
Hey guys !, P
The fact c, P
I work ret, P
You 've se, P
Grocery st, N
Russia dro, N
Squares pr, N
Anxiety le, P
Do n't get, P
I LOVE gov, P
Bitches ea, P
With busin, N
One pics a, N
@ RBC call, N
How resist, N
Food , eme, N
My country, P
Recently ,, P
@ DuncanBa, P
Empty supe, N
It commitm, P
My local s, P
EVERYONE B, N
Had take h, N
News panic, N
Thanks com, P
Any superm, P
Went super, P
Coranaviru, P
Come time , N
Assholes b, P
Its unfort, N
Rumors mis, N
It 7pm . M, P
Video ; Hi, P
Is area 's, N
Nobody : A, P
Theres fa, N
grocery st, N
Food bank , N
https : //, N
Has anyone, P
Coronaviru, N
Am I imagi, P
To people , N
People lea, N
lrt knew C, P
Yikes ... , N
Been seein, P
This month, P
If youve , N
Just local, N
If I sneez, N
The psycho, N
Yall ... , P
There plan, N
We hotline, P
Today moth, P
Airlines g, P
* COVID 19, N
Businesses, P
We got sev, N
Things # C, N
Due # coro, N
Grocery & , P
I feel for, N
# eCommerc, N
For gig ec, P
Empty shel, N
If not fee, P
Just frien, P
USA Americ, N
Off # Coro, P
# Covid_19, N
It 's real, N
My right w, P
Also , Gov, P
The # coro, N
HELLO EVER, P
The first , N
I panic on, N
I work gro, P
The @ FTC , N
# COVID_19, N
I 'm gon n, P
Will @ Tes, P
5m self-em, N
In wake gl, N
Everyone b, N
# COVID19 , P
Some sugge, P
I dont rl, P
Do n't pan, P
Remember g, P
When 're t, N
Seeing gro, N
common sen, P
We disapp, N
Iran not f, N
The situat, P
Israel 19 , N
Supermarke, P
Low gas pr, N
Supermarke, N
@ davido C, P
Actual pan, N
LIST OF ON, P
Panic bege, N
In pics | , N
something , N
With incre, P
# Covid_19, N
It makes s, N
Great pric, P
# Brand # , P
Lets say , N
? Got back, P
@ drizzlea, N
The pandem, P
's really , P
People mas, P
Happy Satu, P
Why everyo, P
SUPERMARKE, N
PSA ON INC, P
Anyone sup, P
Report ret, P
Looking st, P
It wouldn, P
Dear big s, P
mixed Advi, P
Went store, P
In midst p, N
This Thurs, N
Beware cou, N
A `` consu, P
Remember ,, N
Call Rep a, N
Urgent Woo, N
These unce, P
This best , P
MREs back, P
California, N
Went groce, N
Feeling ba, P
I went gro, P
There 's n, P
Youd thin, P
# Coronavi, P
While you, P
@ 7NewsSyd, N
How yall , P
Beware onl, N
people moa, N
None fucke, P
Pretty sur, N
With much , P
`` That 's, N
We proud a, P
Can imagin, N
@ TheCrypt, N
During tim, P
Think 19 p, N
As people , P
Real Canad, P
Metro Mani, N
6 . Despit, N
Queue ente, N
Thinking f, P
Dog & amp , N
To corpora, P
Just littl, N
They certa, P
This local, N
Doctors : , P
For face #, P
Panic buyi, N
Since I su, P
PH peeps~ , P
Have quest, P
My mom cal, N
`` With ev, P
I @ Forest, P
COVID-19 n, P
@ sainsbur, P
@ SkyNews , N
Unless upp, N
Today I we, N
If # coron, P
What hell , N
Well inter, P
Does anyon, P
PM address, N
The GLB Re, P
Trying wee, N
I not deci, P
I bet idio, P
Im gon na, N
# Quaranti, P
So awful p, N
PSA- Just , N
Was grocer, P
I work ret, P
Driving gr, P
Be extra c, P
ca n't fin, P
After repo, P
More groce, N
@ quietpla, N
@ SRuhle @, P
I live Ita, N
Oh irony c, N
Someone pu, N
@ BBCBreak, N
Internet p, N
I 'm back , N
Only Turd , N
Ppl waitin, P
A national, N
Kid never , P
Worst time, N
Retail Sto, P
Was buying, N
The parade, P
Airlines :, N
No panic b, N
The UK gov, P
Covid-19 c, N
Everyone h, P
# Coronavi, N
? People #, P
Since # co, P
As # Covid, N
Got back g, N
@ DeborahM, N
Stuck insi, N
Im dreadi, P
The real h, P
1/ All loo, N
I feeling , N
Omg I line, N
Me : shit , N
@ BrentJSt, N
A friendly, P
Go shoppin, P
@ capshun , N
Please sto, N
Another th, N
Companies , P
Uh-oh , Sp, N
Policymake, N
Ok , # COV, N
With # Cov, N
You know s, N
# FlattenT, P
My country, N
# CoronaVi, P
Before cor, P
PSA Be nic, P
Shelves lo, P
Lidl total, N
Wondering , N
Our local , N
Covid-19 l, P
IMHO Russi, N
Just stood, N
Since , Ou, P
@ furlotte, N
Is , anyon, N
Watch take, N
We 're cri, N
@ I_Katcha, N
? New Podc, N
Online sho, P
So far 36 , N
@ business, N
These post, N
I find iro, N
Food pover, N
CONSUMER C, P
This panic, N
Ca n't fin, P
`` First t, N
# coronavi, P
So were #, P
So . To ad, N
With panic, N
gdi need k, P
So want st, P
When brand, N
With self-, P
Amazon hir, P
@ crypto_r, N
We really , P
remember n, N
@ Lord_Sug, P
Grocery st, N
Can get ta, P
@ uhaul of, P
Seriously , N
Thread : P, P
Tip bagger, N
A grocery , N
For think , P
If 're goi, P
Things may, N
# btc prov, P
Made weekl, N
Just were, N
The world , N
Everyone r, N
Grocery sh, P
# Coronavi, P
@ dexcom G, P
Due COVID-, P
Bank Canad, P
So US govt, P
I went bou, N
Panic ever, N
Heartfelt , P
Shoutout o, P
# Coronavi, N
# THIS Pan, N
# UPDATE T, N
What prepa, P
Omg corona, N
* small vo, P
If would l, N
With chaos, P
The way wo, P
After many, P
I work gro, P
online sho, N
Ive seen , N
dads kore, P
The $ 1.5 , P
I dont un, P
COVID-19 K, N
@ AHARMumb, P
I absolute, P
Toilet pap, N
While I n', P
Covid-19 u, P
Different , N
Well I fin, P
Meanwhile , N
Waiting li, P
Interestin, N
@ IAmPhilK, N
@ dicksspo, P
Plenty med, N
today I ve, P
Just local, P
How @ wool, P
At times l, P
On serious, P
I 'm Retai, P
Oil prices, N
Plus its , N
Wash hands, P
This selfi, N
? Big Thre, P
Sooo , NZ , N
As things , N
Thank heal, P
Consumer e, N
* SO * pro, P
outside ra, N
# COVID19 , P
Hey , moro, N
In every s, N
Word day :, P
Meat aisle, N
Please Not, P
Holy COVID, P
Hi guys If, P
